Dest-ID,Name,Division,Type,Tags,Budget-Level,Best-Season,Avg-Rating,Description
BD001,Cox's Bazar,Chattogram,Beach,beach sea sunset swimming resort seafood sandy coast waves,3,Winter,9.1,World's longest natural sea beach stretching 120 km.
BD002,Sundarbans,Khulna,Forest,mangrove forest tiger wildlife boat safari jungle river delta,4,Winter,9.3,"Largest mangrove forest, UNESCO World Heritage Site."
BD003,Sajek Valley,Chattogram,Hill,hill valley cloud mist trekking tribal sunrise village scenic,3,All,9,"Cloud-touching valley in Rangamati, called 'Queen of Hills'."
BD004,Srimangal,Sylhet,Nature,tea garden green nature bird watching forest lake calm peaceful,2,Winter,8.7,Tea capital of Bangladesh with lush green gardens.
BD005,Saint Martin's Island,Chattogram,Beach,island coral reef snorkeling beach fishing boat sea crystal water,4,Winter,9.2,Only coral island of Bangladesh with crystal clear water.
BD006,Bandarban,Chattogram,Hill,hill trekking tribal waterfall adventure camping mountain forest,3,Winter,9,Hill district with highest peaks and stunning landscapes.
BD007,Kuakata,Barishal,Beach,beach sunrise sunset sea fishing boat mangrove shore coastal,2,Winter,8.5,Panoramic beach where both sunrise and sunset are visible.
BD008,Paharpur,Rajshahi,Historical,archaeology ruins ancient buddha UNESCO heritage historic monument,1,Winter,8.3,UNESCO heritage Buddhist monastery ruins from 7th century.
BD009,Mahasthangarh,Rajshahi,Historical,ancient fort archaeological ruins historical museum heritage culture,1,Winter,8,"Oldest archaeological site in Bangladesh, 2500 years old."
BD010,Ratargul Swamp Forest,Sylhet,Forest,swamp wetland forest boat freshwater jungle green calm river,2,Monsoon,8.8,"Only freshwater swamp forest of Bangladesh, Sylhet."
BD011,Lawachara National Park,Sylhet,Forest,jungle wildlife trekking bird gibbon nature forest canopy trail,2,Winter,8.6,Tropical rainforest home to endangered hoolock gibbons.
BD012,Rangamati,Chattogram,Lake,lake boat island hill tribal culture suspension bridge water scenic,3,Winter,8.9,Scenic hill district with Kaptai Lake and tribal culture.
BD013,Lalbagh Fort,Dhaka,Historical,mughal fort historical monument architecture museum Dhaka heritage,1,All,8.1,17th century Mughal fort in old Dhaka city.
BD014,Ahsan Manzil,Dhaka,Historical,pink palace museum historical architecture Dhaka river waterfront,1,All,8,"Pink Palace, former residence of Nawabs of Dhaka."
BD015,Bhawal National Park,Dhaka,Nature,forest picnic nature green trees recreation park wildlife Gazipur,1,All,7.5,"Nearest national park from Dhaka, ideal for day trips."
BD016,Sylhet City,Sylhet,City,city culture food shrine spiritual Hazrat Shah Jalal tea garden,2,All,8.2,Spiritual and cultural hub with tea gardens and shrines.
BD017,Madhabkunda Waterfall,Sylhet,Nature,waterfall forest nature trekking river rocks scenic refreshing,2,Monsoon,8.5,Largest waterfall in Bangladesh surrounded by forest.
BD018,Tanguar Haor,Sylhet,Wetland,haor wetland bird migratory fishing boat water nature ecosystem,2,Monsoon,8.9,"Ramsar wetland site, home to hundreds of migratory birds."
BD019,Khulna City & Mongla,Khulna,City,city river port industrial gateway Sundarbans launch boat delta,2,Winter,7.8,Gateway city to Sundarbans with river and port culture.
BD020,Sixty Dome Mosque,Khulna,Historical,mosque UNESCO heritage Muslim architecture historical Bagerhat,1,All,8.4,"UNESCO World Heritage mosque built in 15th century, Bagerhat."
BD021,Kaptai Lake,Chattogram,Lake,lake boating fishing green hills reservoir water scenic peaceful,2,Winter,8.7,Largest man-made lake in Bangladesh surrounded by hills.
BD022,Alikadam,Chattogram,Hill,hill remote tribal waterfall adventure trekking unexplored jungle,3,Winter,8.3,Remote hill station with untouched natural beauty.
BD023,Patenga Beach,Chattogram,Beach,beach sea port city sunset ship Chattogram river estuary local,1,All,7.6,Urban beach near Chittagong port with sea views.
BD024,Comilla Archaeological Sites,Chattogram,Historical,archaeology Buddhist ruins historical Mainamati excavation heritage,1,Winter,7.9,"Mainamati Buddhist ruins, 7th-12th century heritage."
BD025,Barind Tract,Rajshahi,Nature,agriculture mango orchard rural nature sunset Rajshahi green field,1,Summer,7.4,Famous mango orchards and rural landscapes of Rajshahi.
